Date,RoR
2023-01-03,0.0
2023-01-04,0.024312475089677044
2023-01-05,0.11128404669260705
2023-01-06,-0.09313725490196079
2023-01-09,-0.013127413127413168
2023-01-10,-0.010563380281690016
2023-01-11,0.02807433768287848
2023-01-12,-0.03846153846153855
2023-01-13,-0.011600000000000055
2023-01-17,-0.006475111290975222
2023-01-18,-0.031364562118126216
2023-01-19,0.013036164844407061
2023-01-20,-0.04026567040265672
2023-01-21,0.006055363321799456
2023-01-23,0.0739466895958727
2023-01-24,-0.036429143314651746
2023-01-25,-0.01080182800166174
2023-01-26,0.0029399412011759107
2023-01-27,-0.01298157453936355
2023-01-30,-0.008061094611794606
2023-01-31,-0.015825491873396103
2023-02-01,0.03998261625380284
2023-02-02,-0.024655244463017145
2023-02-03,-0.009425878320479919
2023-02-06,-0.035467128027681594
2023-02-07,0.004484304932735439
2023-02-08,0.01651785714285725
2023-02-09,-0.048309178743961345
2023-02-10,0.00969081679741568
2023-02-13,0.005484460694698434
2023-02-14,0.039090909090909065
2023-02-15,-0.025371828521434825
2023-02-16,0.0031418312387792025
2023-02-17,0.006711409395973256
2023-02-18,0.0
2023-02-21,-0.01777777777777778
2023-02-22,-0.014027149321266918
2023-02-23,0.009637448370812152
2023-02-24,-0.030000000000000027
2023-02-27,0.002811621368322248
2023-02-28,-0.04999999999999993
2023-03-01,0.05115592720118056
2023-03-02,0.006083294337856815
2023-03-03,-0.04604651162790696
2023-03-06,-0.03705509507557292
2023-03-07,-0.0075949367088608
2023-03-08,-0.030612244897959218
2023-03-09,0.0742105263157895
2023-03-10,-0.04262616364527194
2023-03-11,0.038382804503582335
2023-03-13,-0.09462789551503203
2023-03-14,0.009254218835057282
2023-03-15,0.024811218985976158
2023-03-16,0.007894736842105177
2023-03-17,0.09608355091383802
2023-03-20,-0.04716531681753211
2023-03-21,0.04499999999999993
2023-03-22,-0.06698564593301426
2023-03-23,-0.04871794871794877
2023-03-24,0.06253369272237186
2023-03-27,0.05530187721968538
2023-03-28,-0.06249999999999989
2023-03-29,0.0
2023-03-30,-0.0005128205128206442
2023-03-31,0.015905592611595853
2023-04-03,-0.01868686868686875
2023-04-04,0.039629439011837464
2023-04-05,-0.03217821782178221
2023-04-06,-0.02813299232736577
2023-04-10,0.002105263157894832
2023-04-11,-0.007352941176470673
2023-04-12,-0.013227513227513255
2023-04-13,0.00428954423592498
2023-04-14,-0.04965296316070478
2023-04-17,-0.016853932584269704
2023-04-18,-0.05085714285714282
2023-04-19,-0.05599036724864537
2023-04-20,0.07142857142857162
2023-04-21,-0.0815476190476192
2023-04-24,-0.15748541801685023
2023-04-25,-0.004615384615384799
2023-04-26,-0.04636785162287471
2023-04-27,-0.02350081037277152
2023-04-28,-0.004149377593360981
2023-05-01,0.0625
2023-05-02,0.018823529411764683
2023-05-03,-0.09160892994611236
2023-05-04,0.06864406779661003
2023-05-05,-0.008723235527359208
2023-05-08,-0.031200000000000006
2023-05-09,0.04459124690338556
2023-05-10,-0.06403162055335965
2023-05-11,-0.04729729729729737
2023-05-12,-0.024822695035460973
2023-05-15,-0.018181818181818188
2023-05-16,-0.005555555555555536
2023-05-17,0.08752327746741151
2023-05-18,-0.003424657534246589
2023-05-19,0.06872852233676974
2023-05-22,-0.019292604501607746
2023-05-23,0.024590163934426146
2023-05-24,-0.03359999999999996
2023-05-25,0.040562913907284726
2023-05-26,-0.04534606205250602
2023-05-30,0.04583333333333339
2023-05-31,-0.043824701195219196
2023-06-01,0.0
2023-06-02,0.040000000000000036
2023-06-05,-0.028044871794871695
2023-06-06,0.03874690849134366
2023-06-07,-0.01825396825396819
2023-06-08,0.04284559417946654
2023-06-09,-0.04651162790697683
2023-06-12,0.047154471544715415
2023-06-13,-0.006211180124223614
2023-06-14,-0.04062500000000002
2023-06-15,-0.002442996742671122
2023-06-16,0.061224489795918435
2023-06-20,-0.024615384615384706
2023-06-21,0.02681388012618302
2023-06-22,-0.02073732718894017
2023-06-23,0.07058823529411762
2023-06-26,-0.09816849816849826
2023-06-27,0.05930138099106408
2023-06-28,0.01840490797546024
2023-06-29,-0.027108433734939652
2023-06-30,-0.01702786377708987
2023-07-03,0.003937007874015741
2023-07-05,0.019607843137254832
2023-07-06,-0.011538461538461497
2023-07-07,0.010894941634241206
2023-07-10,0.08468052347959976
2023-07-11,0.06387508871540115
2023-07-12,-0.03068712474983315
2023-07-13,-0.002064693737095835
2023-07-14,0.02758620689655178
2023-07-17,-0.01140939597315438
2023-07-18,0.07942973523421593
2023-07-19,0.026415094339622636
2023-07-20,-0.03676470588235292
2023-07-21,-0.021628498727735423
2023-07-24,0.033810143042912966
2023-07-25,-0.08238993710691822
2023-07-26,0.027416038382453767
2023-07-27,0.0006671114076048923
2023-07-28,-0.01666666666666672
2023-07-31,0.061694915254237204
2023-08-01,-0.01085568326947628
2023-08-02,-0.06391220142027132
2023-08-03,0.03655172413793095
2023-08-04,-0.029940119760478834
2023-08-07,-0.016460905349794275
2023-08-08,0.025104602510460206
2023-08-09,-0.0775510204081632
2023-08-10,-0.005899705014749235
2023-08-11,-0.013353115727002929
2023-08-14,-0.050375939849624185
2023-08-15,-0.0182106096595408
2023-08-16,-0.032258064516129115
2023-08-17,0.008333333333333304
2023-08-18,-0.008264462809917328
2023-08-21,0.01750000000000007
2023-08-22,0.0
2023-08-23,0.0073710073710073765
2023-08-24,-0.014634146341463428
2023-08-25,-0.00990099009900991
2023-08-28,0.011666666666666714
2023-08-29,0.05766062602965394
2023-08-30,-0.0459501557632398
2023-08-31,-0.01224489795918371
2023-09-01,0.02148760330578514
2023-09-05,0.003236245954692629
2023-09-06,-0.0185483870967742
2023-09-07,0.011503697617091246
2023-09-08,-0.025182778229082103
2023-09-11,0.036666666666666625
2023-09-12,-0.02733118971061088
2023-09-13,0.01735537190082659
2023-09-14,0.08692120227457356
2023-09-15,0.008221225710014934
2023-09-18,-0.050407709414381
2023-09-19,0.0
2023-09-20,-0.016393442622950727
2023-09-21,0.07936507936507953
2023-09-22,-0.006617647058823617
2023-09-25,-0.011102886750555152
2023-09-26,-0.034431137724550864
2023-09-27,0.007751937984496138
2023-09-28,0.05153846153846131
2023-09-29,0.045354791514264914
2023-10-02,-0.05528341497550726
2023-10-03,0.0
2023-10-04,0.016296296296296253
2023-10-05,-0.0451895043731777
2023-10-06,0.012213740458015154
2023-10-09,-0.018853695324283604
2023-10-10,-0.000768639508070601
2023-10-11,0.06153846153846154
2023-10-12,-0.05362318840579727
2023-10-13,-0.003828483920367498
2023-10-16,0.008455034588777943
2023-10-17,0.0480182926829269
2023-10-18,0.0181818181818183
2023-10-19,-0.04500000000000004
2023-10-20,0.11518324607329844
2023-10-23,-0.06103286384976525
2023-10-24,0.0
2023-10-25,-0.04928571428571438
2023-10-26,0.05860255447032303
2023-10-27,0.03548616039744501
2023-10-30,-0.039753255654557895
2023-10-31,-0.035688793718772316
2023-11-01,0.012583271650629113
2023-11-02,-0.013157894736842035
2023-11-03,0.0
2023-11-06,0.013333333333333197
2023-11-07,-0.005847953216374213
2023-11-08,-0.006617647058823617
2023-11-09,-0.031828275351591384
2023-11-10,0.032874617737002954
2023-11-13,0.00888230940044421
2023-11-14,0.006603081438004255
2023-11-15,0.019679300291545188
2023-11-16,0.022158684774839177
2023-11-17,-0.009090909090909038
2023-11-20,-0.011997177134791648
